question,answer,contexts,ground_truth,answer_relevancy,answer_similarity,answer_correctness,,,,,,
What is the function of 'T0886: Remote Services' in ICS attacks?,Allows attackers remote access to systems,"['[""T0886: Remote Services\' allows attackers to access ICS devices remotely.""]']","Adversaries may leverage remote services to move between assets and network segments. These services are often used to allow operators to interact with systems remotely within the network, some examples are RDP, SMB, SSH, and other similar mechanisms.  Remote services could be used to support remote access, data transmission, authentication, name resolution, and other remote functions. Further, remote services may be necessary to allow operators and administrators to configure systems within the network from their engineering or management workstations. An adversary may use this technique to access devices which may be dual-homed [1] to multiple network segments, and can be used for Program Download or to execute attacks on control devices directly through Valid Accounts.",0.92393144,0.869556349,0.217389087,,,,,,
Which group is known for targeting critical infrastructure with 'BlackEnergy'?,Sandworm Team,"['[""The \'Sandworm Team\' is known for targeting critical infrastructure with \'BlackEnergy\'.""]']",The 'Sandworm Team' is known for targeting critical infrastructure with 'BlackEnergy'.,0.964692223,0.850101069,0.212525267,,,,,,
What does the 'Collection' tactic involve in ICS environments?,Gathering sensitive data from compromised systems,"['[""The \'Collection\' tactic involves gathering information from ICS systems for future attacks.""]']","The adversary is trying to gather data of interest and domain knowledge on your ICS environment to inform their goal. Collection consists of techniques adversaries use to gather domain knowledge and obtain contextual feedback in an ICS environment. This tactic is often performed as part of Discovery, to compile data on control systems and targets of interest that may be used to follow through on the adversary’s objective. Examples of these techniques include observing operation states, capturing screenshots, identifying unique device roles, and gathering system and diagram schematics. Collection of this data can play a key role in planning, executing, and even revising an ICS-targeted attack. Methods of collection depend on the categories of data being targeted, which can include protocol specific, device specific, and process specific configurations and functionality. Information collected may pertain to a combination of system, supervisory, device, and network related data, which conceptually fall under high, medium, and low levels of plan operations. For example, information repositories on plant data at a high level or device specific programs at a low level. Sensitive floor plans, vendor device manuals, and other references may also be at risk and exposed on the internet or otherwise publicly accessible.",0.925181613,0.845368144,0.347705672,,,,,,
"What intrusion set uses the ""Alarm Suppression"" attack pattern?",NotPetya used this pattern,"['[\'The intrusion set ""Triton"" uses the ""Alarm Suppression"" attack pattern.\']']","The Maroochy Water Breach intrusion set is known to use the ""Alarm Suppression"" attack pattern.",0.809419264,0.814121312,0.203530328,,,,,,
"Which malware is known to target industrial control systems with ""Data Destruction"" techniques?","Stuxnet, Industroyer","['[\'The malware ""Industroyer"" is known to target industrial control systems using ""Data Destruction"" techniques.\']']","The malware ""INCONTROLLER"", ""Industroyer"" and ""killdisk"" are known to target industrial control systems using ""Data Destruction"" techniques.",0.922947323,0.850158838,0.212539709,,,,,,
"What is the primary purpose of the ""Inhibit Response Function"" technique in ICS?",To prevent systems from responding correctly to ensure uninterrupted attack,"['[\'The primary purpose of the ""Inhibit Response Function"" technique is to prevent systems from taking corrective actions in response to faults or attacks.\']']","The adversary is trying to prevent your safety, protection, quality assurance, and operator intervention functions from responding to a failure, hazard, or unsafe state.",0.955657353,0.844967214,0.211241803,,,,,,
What is the purpose of 'T0885: Commonly Used Port' in ICS attacks?,To exploit common network ports for easy access,"[""['Attackers use commonly open ports to blend malicious traffic with legitimate network traffic to avoid detection.']""]","Adversaries may communicate over a commonly used port to bypass firewalls or network detection systems and to blend in with normal network activity, to avoid more detailed inspection. They may use the protocol associated with the port, or a completely different protocol. ",0.86122115,0.872171749,0.218042937,,,,,,
Which group is known for using the 'NotPetya' ransomware?,Sandworm Team,"[""['Sandworm Team']""]",Sandworm Team,0,1,1,,,,,,
"What is the alias for the threat group ""CyberAv3ngers""? ",No specific alias is commonly known,"['[\'The alias for ""CyberAv3ngers"" is ""Soldiers of Soloman.""\']']","The alias for ""CyberAv3ngers"" is ""Soldiers of Soloman.""",0,0.799978463,0.199994616,,,,,,
Which threat group operates the REvil Ransomware-as-a-Service?,"Sodinokibi (REvil is the ransomware, Sodinokibi is the group)","['[\'The threat group that operates the REvil Ransomware-as-a-Service is ""GOLD SOUTHFIELD.""\']']","The threat group that operates the REvil Ransomware-as-a-Service is ""GOLD SOUTHFIELD"" and ""FIN7"".",0.955338989,0.866245833,0.591561458,,,,,,
"When was the ""CyberAv3ngers"" group first known to be active?",Not well-documented; the group isn't widely recognized in major reports,"['[\'The ""CyberAv3ngers"" group has been known to be active since at least 2020.\']']",2020,0,0.762464088,0.940616022,,,,,,
"What specific sectors were targeted by the ""HEXANE"" group?",Energy and telecommunications,"['[\'The ""HEXANE"" group targeted the oil & gas\', \'telecommunications\', \'aviation\', \'and internet service provider sectors.\']']","The ""HEXANE"" group targeted the oil & gas, telecommunications, aviation, and internet service provider sectors.",0.984526725,0.820820336,0.205205084,,,,,,
"What is the MITRE ATT&CK ID for the ""Lazarus Group""?",APT38,"[""['G0032']""]"," The MITRE ATT&CK ID for the ""Lazarus Group"" is G0032.",0.814866072,0.752075325,0.188018831,,,,,,
"Which malware was used by the ""Dragonfly"" group against energy companies?",Backdoor.Oldrea,"[""['Havex']""]"," The malware used by the ""Dragonfly"" group is ""Backdoor.Oldrea"" (also known as ""Havex"").",0.854850663,0.844766173,0.211191543,,,,,,
"Which group is associated with the alias ""Pinchy Spider""?",Cybercriminal group known for GandCrab ransomware,"[""['FIN7']""]","The group associated with the alias ""Pinchy Spider"" is ""GOLD SOUTHFIELD.""",0.784470748,0.790581598,0.1976454,,,,,,
"What kind of interface was defaced by the ""CyberAv3ngers"" group in their 2023 attack?",Public-facing web interfaces,"[""['Human-Machine Interface (HMI)']""]","The ""CyberAv3ngers"" group defaced the Human-Machine Interface (HMI) in their 2023 attack.",0.708190674,0.775253111,0.193813278,,,,,,
What malware is described as the first to specifically target industrial control systems devices?,Stuxnet,"[""['Stuxnet']""]","The malware described as the first to specifically target industrial control systems devices is ""Stuxnet.""",0.843286367,0.912800412,0.228200103,,,,,,
"What threat group is associated with the aliases ""Labyrinth Chollima"" and ""ZINC""? ",Lazarus Group,"[""['Lazarus Group']""]","The threat group associated with the aliases ""Labyrinth Chollima"" and ""ZINC"" is ""Lazarus Group.""",0.826110827,0.866239498,0.216559874,,,,,,
"In which sectors did the ""EKANS"" ransomware cause significant operational disruptions?","Manufacturing, energy","[""['Manufacturing', 'Energy', 'and Industrial Control']""]"," The ""EKANS"" ransomware caused significant operational disruptions in the energy, healthcare, and automotive manufacturing sectors.",0.774738197,0.784877144,0.696219286,,,,,,
 Which group's activities are primarily linked to the Russian origin?,Fancy Bear,"[""['APT28 (Fancy Bear)']""]","The group primarily linked to Russian origin is ""Wizard Spider.""",0.716262935,0.748171534,0.187281964,,,,,,
"What is the alternative name for the malware ""SNAKEHOSE""?",Snake,"[""['EKANS']""]","The alternative name for ""SNAKEHOSE"" is ""EKANS.""",0.772327661,0.826737603,0.206684401,,,,,,
Which threat group targeted Unitronics Programmable Logic Controllers (PLC) in 2023?,Not specified,"[""['APT41']""]","The threat group that targeted Unitronics Programmable Logic Controllers (PLC) in 2023 is ""CyberAv3ngers.""",0,0.735968442,0.18399211,,,,,,
"What alias is associated with the ""APT33"" group?","Elfin, Refined Kitten","[""['Elfin']""]","The alias associated with the ""APT33"" group is ""Peach Sandstorm.""",0,0.756010622,0.189002656,,,,,,
"Which threat group is known for the creation and deployment of ""TrickBot""?",Wizard Spider,"[""['Wizard Spider']""]","The threat group known for the creation and deployment of ""TrickBot"" is ""Wizard Spider.""",0,0.844856943,0.211188086,,,,,,
"What year was the ""Backdoor.Oldrea"" first used by ""Dragonfly""? ",2010,"[""['2011']""]","The ""Backdoor.Oldrea"" was first used by ""Dragonfly"" in 2013.",0,0.773063474,0.193265868,,,,,,
" What alias is used by the ""HEXANE"" group, which also refers to the name ""Lyceum""?",Lyceum,"[""['OilRig']""]","The alias used by the ""HEXANE"" group, which also refers to the name ""Lyceum,"" is ""Siamesekitten.""",0.750464627,0.83229758,0.208074395,,,,,,
Which malware is known to have been discovered in 2010 with components used as early as 2008?,Stuxnet,"[""['Stuxnet']""]","The malware known to have been discovered in 2010 with components used as early as 2008 is ""Stuxnet.""",0.811162909,0.907497692,0.226874423,,,,,,
"Which group is reported to have connections to the IRGC-linked ""Soldiers of Solomon""?",Not well-documented; speculative connections,"[""['APT39']""]","The group reported to have connections to the IRGC-linked ""Soldiers of Solomon"" is ""CyberAv3ngers.""",0,0.775195447,0.568798862,,,,,,
What is Bad Rabbit?,A ransomware strain that targets Windows systems,"[""['A ransomware variant']""]",Bad Rabbit is a self-propagating ransomware that affected the Ukrainian transportation sector in 2017.,0.741595036,0.846900483,0.211700895,,,,,,
What platform does Bad Rabbit target?,Windows,"[""['Windows']""]",Windows,0.758123338,1,1,,,,,,
Which malware affected the Ukrainian transportation sector in 2017?,NotPetya,"[""['NotPetya']""]",Bad Rabbit,0.836137348,0.777368514,0.944342128,,,,,,
Which sector was targeted by Bad Rabbit in 2017?,"Financial, government, and media sectors","[""['Media and transportation']""]",The Ukrainian transportation sector,0,0.809640974,0.202410243,,,,,,
Which malware shares aliases with Win32/Diskcoder.D?,"NotPetya, Petya","[""['Bad Rabbit']""]",Bad Rabbit,0.79984181,0.773945209,0.193486302,,,,,,
What is the ID for Bad Rabbit in the MITRE ATT&CK framework?,T1486,"[""['S0600']""]",S0606,0,0.895249802,0.22381245,,,,,,
What does Stuxnet specifically target?,PLCs used in nuclear facilities,"[""['Siemens PLCs']""]",Industrial control systems devices,0.784222844,0.836096631,0.959024158,,,,,,
What is Stuxnet known for?,Specifically targeting and disrupting Iranian nuclear facilities,"[""['Targeting Iran’s nuclear facilities']""]",Stuxnet was the first publicly reported piece of malware to specifically target industrial control systems devices.,0.785117505,0.812516245,0.578129061,,,,,,
Which platform does Stuxnet target?,Siemens SCADA systems,"[""['Windows']""]",Windows,0.781791579,0.782405446,0.945601362,,,,,,
Which group used NotPetya in a worldwide attack?,Sandworm Team,"[""['Sandworm Team']""]",Sandworm Team,0,1,1,,,,,,
What was the primary purpose of NotPetya?,To disrupt global business operations under the guise of ransomware,"[""['Disruption and destruction']""]",To destroy data and disk structures on compromised systems.,0.859917618,0.83662498,0.209156245,,,,,,
What exploits does NotPetya use to spread?,"EternalBlue, EternalRomance","[""['EternalBlue and Mimikatz']""]",SMBv1 exploits EternalBlue and EternalRomance,0,0.848633169,0.812160771,,,,,,
What platform does NotPetya target?,Windows,"[""['Windows']""]",Windows,0.785053631,1,1,,,,,,
Which malware targets Microsoft Windows and was first detected in November 2008?,Conficker,"[""['Conficker']""]",Conficker,0.883153682,1,1,,,,,,
What is the alias for Conficker?,"Downup, Downadup","[""['Downup', 'Downadup', 'Kido']""]","Downadup, Kido",0.85372407,0.913367449,0.228341862,,,,,,
Which malware ran on Siemens S7 PLCs?,Stuxnet,"[""['Stuxnet']""]",PLC-Blaster,0.817418995,0.819497902,0.954874476,,,,,,
What is the description of BlackEnergy?,A malware toolkit primarily targeting energy sectors,"[""['A malware toolkit for DDoS attacks', 'information theft', 'and more']""]",BlackEnergy is a malware toolkit that has been used by both criminal and APT actors.,0.724522274,0.886248541,0.596562135,,,,,,
Which countries were primarily affected by BlackEnergy?,"Ukraine, primarily during the conflict with Russia","[""['Ukraine and Georgia']""]",Georgia and Ukraine,0,0.872766186,0.218191546,,,,,,
What malware toolkit evolved to include a variant of KillDisk?,BlackEnergy,"[""['BlackEnergy']""]",BlackEnergy 3,0.816477721,0.944151802,0.98603795,,,,,,
Which malware targets engineering workstations?,Industroyer,"[""['Industroyer']""]",Industroyer2,0.764253644,0.951579293,0.987894823,,,,,,
Which malware was designed to cause impact to high-voltage electrical substations?,Industroyer,"[""['Industroyer2']""]",Industroyer2 was designed to cause impact to high-voltage electrical substations.,0.747887126,0.8658854,0.21647135,,,,,,
What is the ID for Industroyer2?,Not specifically known as 'Industroyer2' may be referred to generally as Industroyer.,"[""['S0606']""]",S1072,0,0.762995947,0.190748987,,,,,,
Which protocol can Industroyer2 communicate over?,"IEC 104, IEC 101, IEC 61850, OLE for Process Control (OPC)","[""['IEC 104', 'IEC 61850']""]",IEC-104,0.866509875,0.869918886,0.217479722,,,,,,
What platform does KillDisk target?,Windows,"[""['Windows and Linux']""]",Windows and Linux,0.820973554,0.88116837,0.220292093,,,,,,
Which malware was first seen in December 2019 and impacted operations at Honda automotive production facilities?,Snake / EKANS,"[""['EKANS']""]",EKANS,0.713972489,0.883875413,0.970981322,,,,,,
Which processes does EKANS target?,"Industrial control systems, particularly locking out user access","[""['Industrial Control System (ICS) processes']""]","ICS software platforms (e.g., GE Proficy historian, Honeywell HMIWeb)",0.759384608,0.82066067,0.205165168,,,,,,
Which malware was linked to GOLD SOUTHFIELD?,SILENTTRINITY,"[""['Emotet']""]",REvil,0.849880199,0.776432571,0.944108143,,,,,,
What is the name of the attack framework built to interact with Triconex SIS controllers?,TRITON,"[""['Triton']""]",Triton,0.723498036,0.950646584,0.987661646,,,,,,
Which platform does Triton target?,Triconex Safety Instrumented System (SIS) controllers,"[""['Industrial control systems (ICS)']""]",Windows,0.789760253,0.763897925,0.190974481,,,,,,
Which group was INCONTROLLER developed by?,"Unclear, possibly state-sponsored actors","[""['Unknown']""]",CHERNOVITE,0,0.752369008,0.188092252,,,,,,
What does INCONTROLLER have the ability to do?,"Manipulate industrial control system operations, possibly disrupt or override commands","[""['Disrupt industrial processes']""]","Discover specific devices, download logic on the devices, and exploit platform-specific vulnerabilities.",0,0.808438263,0.202054509,,,,,,
What platform does INCONTROLLER target?,Industrial Control Systems,"[""['Industrial control systems (ICS)']""]","Field Controller/RTU/PLC/IED, Safety Instrumented System/Protection Relay, Engineering Workstation, Windows",0.756654596,0.849152859,0.212288215,,,,,,
Which malware overwrites files with random data to render the OS unbootable?,KillDisk,"[""['KillDisk']""]",KillDisk,0,1,1,,,,,,
What is the alias for KillDisk?,None specifically known for KillDisk itself,"[""['Win32/KillDisk.AK']""]","Win32/KillDisk.NBI, Win32/KillDisk.NBH, Win32/KillDisk.NBD, Win32/KillDisk.NBC, Win32/KillDisk.NBB",0,0.838643672,0.209660918,,,,,,
Which malware framework was used in the attacks on the Ukrainian power grid in December 2016?,Industroyer,"[""['Industroyer']""]",Industroyer,0.730410978,1,1,,,,,,
What is the alias for Industroyer?,Crash Override,"[""['CrashOverride']""]","CRASHOVERRIDE, Win32/Industroyer",0.820167669,0.896109139,0.224027285,,,,,,
Which malware is a sophisticated toolkit that has been used to collect information since at least 2010?,Flame,"[""['Flame']""]",Flame,0.692545214,1,1,,,,,,
What are the aliases for Flame?,"Skywiper, Flamer, sKyWIper","[""['Flamer', 'Skywiper']""]","Flamer, sKyWIper",0,0.947385293,0.836846323,,,,,,
Which malware was designed to target enterprise environments and has been used in attacks since at least 2018?,Ryuk,"[""['Ryuk']""]",Ryuk,0.745423238,1,1,,,,,,
What is the alias for Ryuk?,Hermes,"[""['Hermes']""]",Hermes ransomware,0.750636575,0.879218224,0.969804556,,,,,,
Which malware targets AutoCAD files with drawings?,ACAD/Medre,"[""['ACAD/Medre.A']""]",ACAD/Medre.A,0.842396235,0.987253748,0.996813437,,,,,,
Which malware operates as ransomware-as-a-service (RaaS)?,REvil,"[""['REvil']""]",REvil,0.844863737,1,1,,,,,,
Which platform does REvil target?,Windows,"[""['Windows']""]",Windows,0.771826503,0.999998914,1,,,,,,
Which malware is custom and includes multiple modules tailored towards ICS devices?,INCONTROLLER,"[""['INCONTROLLER']""]",INCONTROLLER,0.726683377,1,1,,,,,,
What are the aliases for INCONTROLLER?,Pipedream,"[""['PIPEDREAM', 'TAG-2222']""]",PIPEDREAM,0,0.909079489,0.977269872,,,,,,
What protocol is used by INCONTROLLER?,"Modbus, OPC, DNP3, and others","[""['OPC UA', 'Modbus TCP', 'DNP3']""]","OPC UA, Modbus, and CODESYS",0,0.890926139,0.437017249,,,,,,
What does the malware VPNFilter collect?,"Network credentials, monitor modbus SCADA protocols, etc.","[""['Credentials', 'sensitive information']""]","Traffic that passes through an infected device, including website credentials and Modbus SCADA protocols.",0,0.851299123,0.641396209,,,,,,
What platform does VPNFilter target?,Network devices like routers and storage devices,"[""['Routers and network-attached storage (NAS) devices']""]",ICS devices,0.770236564,0.824703578,0.206175895,,,,,,
Which country was primarily targeted by Flame?,Iran,"[""['Iran']""]",Middle Eastern countries,0.786361021,0.797770604,0.949442651,,,,,,
What is the name of the campaign conducted by CyberAv3ngers in 2023?,Information not specifically known,"[""['Unitronics Defacement Campaign']""]",Unitronics Defacement Campaign,0,0.758870484,0.939717621,,,,,,
Which threat actor was involved in the Unitronics Defacement Campaign?,Information not specifically known,"[""['CyberAv3ngers']""]",CyberAv3ngers,0,0.756570952,0.939142738,,,,,,
What type of devices were targeted in the Unitronics Defacement Campaign?,Industrial control systems,"[""['Programmable Logic Controllers (PLCs)']""]",Unitronics Vision Series Programmable Logic Controller (PLC) with Human-Machine Interface (HMI),0.771960022,0.826069771,0.956517443,,,,,,
Which sectors were primarily affected by the Unitronics Defacement Campaign?,Energy and industrial sectors,"[""['Industrial and manufacturing']""]","Water and wastewater, energy, food and beverage manufacturing, and healthcare sectors",0,0.894800449,0.523700112,,,,,,
What was the notable feature of the Unitronics Defacement Campaign?,Defacement of industrial control interfaces,"[""['Defacement of HMI interfaces']""]",Defacement of the PLCs' HMIs,0.779723816,0.907815582,0.726953895,,,,,,
When was the first instance of the Unitronics Defacement Campaign observed?,Information not specifically known,"[""['2023']""]","November 1, 2023",0,0.758769428,0.189692357,,,,,,
What is the external ID for the Unitronics Defacement Campaign according to MITRE?,Not available,"[""['T1078']""]",C0031,0,0.777067282,0.944266821,,,,,,
Which publication provided information about IRGC-affiliated hackers in December 2023?,Information not specifically known,"[""['(Answer not provided', 'specific source needed)']""]",CISA AA23-335A IRGC-Affiliated December 2023,0,0.781402234,0.195350558,,,,,,
What was the first major public attack conducted by the Sandworm Team against Ukraine?,2015 Ukraine power grid attacks,"[""['2015 Ukraine Power Grid Attack']""]",2016 Ukraine Electric Power Attack,0.846411292,0.942829905,0.985707476,,,,,,
What malware was used in the 2016 Ukraine Electric Power Attack?,BlackEnergy3,"[""['Industroyer']""]",Industroyer malware,0.828926514,0.737338903,0.934334726,,,,,,
Which group conducted the 2016 Ukraine Electric Power Attack?,Sandworm Team,"[""['Sandworm Team']""]",Sandworm Team,0,1,0.999999482,,,,,,
When did the 2016 Ukraine Electric Power Attack occur?,Dec-16,"[""['Dec-16']""]","December 1, 2016",0,0.872915645,0.218228911,,,,,,
What is the MITRE external ID for the 2016 Ukraine Electric Power Attack?,Not specified in MITRE,"[""['T0810']""]",C0025,0,0.768755892,0.942188973,,,,,,
Which document detailed the Win32/Industroyer threat for industrial control systems?,ESET's analysis on Industroyer/Crash Override,"[""['(Answer not provided', 'specific document needed)']""]",ESET Industroyer,0,0.91003089,0.227507722,,,,,,
What campaign did the Sandworm Team launch against Ukraine in 2022?,Information not specifically known,"[""['Ukraine Electric Power Attack']""]",2022 Ukraine Electric Power Attack,0,0.760284399,0.9400711,,,,,,
What techniques were used by the Sandworm Team in the 2022 Ukraine Electric Power Attack?,Information not specifically known,"[""['Spear phishing', 'malware deployment']""]","GOGETTER, Neo-REGEORG, CaddyWiper, and living off the land (LotL) techniques",0,0.745492654,0.186373163,,,,,,
Which publication provides details about the 2022 Ukraine Electric Power Attack?,Information not specifically known,"[""['(Answer not provided', 'specific source needed)']""]",Dragos-Sandworm-Ukraine-2022,0,0.760832613,0.190208153,,,,,,
What is the MITRE external ID for the 2022 Ukraine Electric Power Attack?,Not available,"[""['T0891']""]",C0034,0,0.783320485,0.945830121,,,,,,
What mitigation involves restricting code execution to a virtual environment on an endpoint?,Application isolation and sandboxing,"[""['Application Isolation and Sandboxing']""]",Application Isolation and Sandboxing,0.834574863,0.96183683,0.990459208,,,,,,
What is the MITRE external ID for Application Isolation and Sandboxing?,Not available,"[""['M1048']""]",M0948,0,0.793996986,0.948499247,,,,,,
Which guideline is associated with the mitigation strategy of Application Isolation and Sandboxing?,Information not specifically known,"[""['NIST SP 800-125']""]",IEC 62443-3-3:2013 - SR 5.4,0,0.746928261,0.936732065,,,,,,
What is the purpose of filtering network traffic according to MITRE?,To control which network traffic is allowed to traverse networks,"[""['To detect and prevent malicious activity']""]",To use network appliances to filter ingress or egress traffic and perform protocol-based filtering,0.880618574,0.86945343,0.217363357,,,,,,
What is the MITRE external ID for the 'Filter Network Traffic' course of action?,Not available,"[""['M1037']""]",M0937,0,0.79567533,0.948913312,,,,,,
What document provides guidelines on firewall deployment for SCADA and process control networks?,NIST Special Publication 800-82 Guide to Industrial Control Systems Security,"[""['NIST SP 800-82 Guide to Industrial Control Systems (ICS) Security']""]",Centre for the Protection of National Infrastructure February 2005,0.807982655,0.802318343,0.950579586,,,,,,
What is the focus of the 'Restrict Web-Based Content' course of action?,To prevent access to malicious or unauthorized web content,"[""['Limiting access to potentially harmful web content']""]","Restricting the use of certain websites, blocking downloads/attachments, blocking Javascript, and restricting browser extensions",0.907012503,0.872275232,0.218068808,,,,,,
What is the MITRE external ID for 'Restrict Web-Based Content'?,Not available,"[""['M1021']""]",M0921,0,0.796932676,0.949233169,,,,,,
Which guideline is associated with validating program inputs?,Information not specifically known,"[""['NIST SP 800-53']""]",IEC 62443-3-3:2013 - SR 3.5,0,0.745906708,0.936476677,,,,,,
What is the purpose of validating program inputs?,To ensure that only properly formatted data is entered into the system,"[""['To prevent injection attacks and ensure data integrity']""]",To ensure the format and content of all user inputs and actions are within intended operational ranges,0.805121153,0.906367503,0.226591876,,,,,,
What publication provides details about secure PLC coding practices?,"Guidelines from various sources like ISA/IEC standards, NIST publications","[""['IEC 61131-3 Programmable Controllers']""]",PLCTop20 Mar 2023,0,0.7090958,0.177252267,,,,,,
What is the purpose of network segmentation in ICS environments?,To reduce the attack surface and limit the spread of breaches,"[""['To isolate critical systems and limit the spread of attacks']""]","To isolate critical systems, functions, or resources to prevent access to sensitive systems and information",0,0.863934685,0.21598184,,,,,,
What is the MITRE external ID for 'Network Segmentation'?,Not available,"[""['M1030']""]",M0930,0,0.789297384,0.947324346,,,,,,
Which guideline is associated with the course of action for Network Segmentation?,NIST SP 800-82 Guide to Industrial Control Systems Security,"[""['NIST SP 800-82 ICS Security Guidelines']""]",IEC 62443-3-3:2013 - SR 5.1,0.808552693,0.807881748,0.201970437,,,,,,
What mitigation involves restricting the ability to modify certain hives or keys in the Windows Registry?,Restrict Registry Permissions,"[""['Restrict Registry Permissions']""]",Restrict Registry Permissions,0.832964768,0.99999718,1,,,,,,
What is the MITRE external ID for 'Restrict Registry Permissions'?,T1480,"[""['M1042']""]",M0924,0.769649927,0.880028714,0.970007178,,,,,,
Which guideline is associated with Restrict Registry Permissions?,Guidelines from CIS (Center for Internet Security),"[""['NIST SP 800-53']""]",IEC 62443-3-3:2013 - SR 2.1,0.80026352,0.769801753,0.192450438,,,,,,
What is Data Loss Prevention (DLP) used for in ICS environments?,To prevent data leaks and unauthorized data transmission,"[""['To prevent unauthorized data exfiltration']""]","To help identify adversarial attempts to exfiltrate operational information such as engineering plans, trade secrets, recipes, or process telemetry",0.815198998,0.855890898,0.213972725,,,,,,
What is the MITRE external ID for 'Data Loss Prevention'?,Not specifically listed under MITRE IDs,"[""['M1027']""]",M0803,0,0.77934266,0.944835665,,,,,,
What is the role of Access Management technologies in ICS environments?,To control and restrict access to resources,"[""['To control user access to systems and resources']""]","To enforce authorization policies and decisions, especially when field devices do not provide sufficient capabilities to support user identification and authentication",0.870943656,0.845082184,0.211270546,,,,,,
What is the MITRE external ID for 'Access Management'?,T1546,"[""['M1016']""]",M0801,0,0.868524686,0.967131171,,,,,,
Which document provides guidelines on configuring and managing remote access for industrial control systems?,NIST guidelines for Industrial Control Systems Security,"[""['NIST SP 800-82']""]",Centre for the Protection of National Infrastructure November 2010,0.896253354,0.794777501,0.198694375,,,,,,
What mitigation strategy focuses on detecting and blocking conditions that may lead to software exploits?,Exploit Protection,"[""['Exploit Protection']""]",Exploit Protection,0,1,1,,,,,,
What is the MITRE external ID for 'Exploit Protection'?,T1068,"[""['M1041']""]",M0950,0.786873554,0.890191256,0.972517215,,,,,,
Which guideline is associated with Exploit Protection?,OWASP (Open Web Application Security Project),"[""['NIST SP 800-53']""]",IEC 62443-3-3:2013 - SR 3.2,0.784178909,0.735651072,0.183912768,,,,,,
What mitigation strategy involves preventing access to file shares and remote access to systems?,Limit Access to Resource Over Network,"[""['Limit Access to Resource Over Network']""]",Limit Access to Resource Over Network,0.833246833,1,0.25,,,,,,
What is the MITRE external ID for 'Limit Access to Resource Over Network'?,T1534,"[""['M1035']""]",M0935,0.747301491,0.887670123,0.221917531,,,,,,
Which guideline is associated with 'Limit Access to Resource Over Network'?,CIS Controls,"[""['NIST SP 800-53']""]",IEC 62443-3-3:2013 - SR 5.1,0,0.743684314,0.935921078,,,,,,
