question,answer,contexts,ground_truth,answer_relevancy,answer_similarity,answer_correctness,,,,,,
"What alias is associated with the ""APT33"" group?",Elfin,"[""['Elfin']""]","The alias associated with the ""APT33"" group is ""Peach Sandstorm.""",0,0.754566081493993,0.1886658003416,,,,,,
"Which threat group is known for the creation and deployment of ""TrickBot""?",Wizard Spider,"[""['Wizard Spider']""]","The threat group known for the creation and deployment of ""TrickBot"" is ""Wizard Spider.""",0,0.844856943381777,0.211204124355535,,,,,,
"What year was the ""Backdoor.Oldrea"" first used by ""Dragonfly""? ",2011,"[""['2011']""]","The ""Backdoor.Oldrea"" was first used by ""Dragonfly"" in 2013.",0.80654826119278,0.776695733205904,0.194156823655447,,,,,,
" What alias is used by the ""HEXANE"" group, which also refers to the name ""Lyceum""?",OilRig,"[""['OilRig']""]","The alias used by the ""HEXANE"" group, which also refers to the name ""Lyceum,"" is ""Siamesekitten.""",0,0.747703945363494,0.186925986340873,,,,,,
Which malware is known to have been discovered in 2010 with components used as early as 2008?,Stuxnet,"[""['Stuxnet']""]","The malware known to have been discovered in 2010 with components used as early as 2008 is ""Stuxnet.""",0.811162908595559,0.907497692489645,0.226874423122411,,,,,,
"Which group is reported to have connections to the IRGC-linked ""Soldiers of Solomon""?",APT39,"[""['APT39']""]","The group reported to have connections to the IRGC-linked ""Soldiers of Solomon"" is ""CyberAv3ngers.""",0.717264272420351,0.754335342312265,0.188583835578066,,,,,,
What is Bad Rabbit?,A ransomware variant,"[""['A ransomware variant']""]",Bad Rabbit is a self-propagating ransomware that affected the Ukrainian transportation sector in 2017.,0.769845759152835,0.862080789238023,0.215520197309505,,,,,,
What platform does Bad Rabbit target?,Windows,"[""['Windows']""]",Windows,0.758123337873609,1,1,,,,,,
Which malware affected the Ukrainian transportation sector in 2017?,NotPetya,"[""['NotPetya']""]",Bad Rabbit,0.84478943654122,0.777368513695315,0.944342128423828,,,,,,
Which sector was targeted by Bad Rabbit in 2017?,Media and transportation,"[""['Media and transportation']""]",The Ukrainian transportation sector,0,0.833195739542905,0.958280072923848,,,,,,
Which malware shares aliases with Win32/Diskcoder.D?,Bad Rabbit,"[""['Bad Rabbit']""]",Bad Rabbit,0.719255644328524,1,0.999999048478834,,,,,,
What is the ID for Bad Rabbit in the MITRE ATT&CK framework?,S0600,"[""['S0600']""]",S0606,0,0.975301888871388,0.993825472217847,,,,,,
What does Stuxnet specifically target?,Siemens PLCs,"[""['Siemens PLCs']""]",Industrial control systems devices,0.765662095063712,0.822472647889102,0.955618161972275,,,,,,
What is Stuxnet known for?,Targeting Iranâ€™s nuclear facilities,"[""['Targeting Iranâ€™s nuclear facilities']""]",Stuxnet was the first publicly reported piece of malware to specifically target industrial control systems devices.,0.78878404100523,0.801089623291879,0.200272405822969,,,,,,
Which platform does Stuxnet target?,Windows,"[""['Windows']""]",Windows,0.795481742040532,1,1,,,,,,
Which group used NotPetya in a worldwide attack?,Sandworm Team,"[""['Sandworm Team']""]",Sandworm Team,0,1,1,,,,,,
What was the primary purpose of NotPetya?,Disruption and destruction,"[""['Disruption and destruction']""]",To destroy data and disk structures on compromised systems.,0,0.820617499880276,0.205154374970069,,,,,,
What exploits does NotPetya use to spread?,EternalBlue and Mimikatz,"[""['EternalBlue and Mimikatz']""]",SMBv1 exploits EternalBlue and EternalRomance,0.810963803778731,0.856331148995296,0.514082787248824,,,,,,
What platform does NotPetya target?,Windows,"[""['Windows']""]",Windows,0.785053631387989,1,1,,,,,,
Which malware targets Microsoft Windows and was first detected in November 2008?,Conficker,"[""['Conficker']""]",Conficker,0.883153682111507,1,1,,,,,,
What is the alias for Conficker?,"Downup, Downadup, Kido","[""['Downup', 'Downadup', 'Kido']""]","Downadup, Kido",0.830629856273947,0.960966486287123,0.24024162157178,,,,,,
Which malware ran on Siemens S7 PLCs?,Stuxnet,"[""['Stuxnet']""]",PLC-Blaster,0.817418994505532,0.819497902193973,0.954874475548493,,,,,,
What is the description of BlackEnergy?,"A malware toolkit for DDoS attacks, information theft, and more","[""['A malware toolkit for DDoS attacks', 'information theft', 'and more']""]",BlackEnergy is a malware toolkit that has been used by both criminal and APT actors.,0.721850887118386,0.856958352379117,0.514239588094779,,,,,,
Which countries were primarily affected by BlackEnergy?,Ukraine and Georgia,"[""['Ukraine and Georgia']""]",Georgia and Ukraine,0.810228602822956,0.965221995073704,0.991305498768426,,,,,,
What malware toolkit evolved to include a variant of KillDisk?,BlackEnergy,"[""['BlackEnergy']""]",BlackEnergy 3,0,0.944151801764616,0.986037950441154,,,,,,
Which malware targets engineering workstations?,Industroyer,"[""['Industroyer']""]",Industroyer2,0.764269107091419,0.951579293087369,0.987890251437454,,,,,,
Which malware was designed to cause impact to high-voltage electrical substations?,Industroyer2,"[""['Industroyer2']""]",Industroyer2 was designed to cause impact to high-voltage electrical substations.,0,0.876704222126337,0.219155346349042,,,,,,
What is the ID for Industroyer2?,S0606,"[""['S0606']""]",S1072,0.717574920421213,0.894511258286806,0.973627814571701,,,,,,
Which protocol can Industroyer2 communicate over?,"IEC 104, IEC 61850","[""['IEC 104', 'IEC 61850']""]",IEC-104,0.781183156404913,0.903222456906891,0.225805614226722,,,,,,
What platform does KillDisk target?,Windows and Linux,"[""['Windows and Linux']""]",Windows and Linux,0.794331596881114,1,0.25,,,,,,
Which malware was first seen in December 2019 and impacted operations at Honda automotive production facilities?,EKANS,"[""['EKANS']""]",EKANS,0,0.999999999999999,1,,,,,,
Which processes does EKANS target?,Industrial Control System (ICS) processes,"[""['Industrial Control System (ICS) processes']""]","ICS software platforms (e.g., GE Proficy historian, Honeywell HMIWeb)",0.808252320090905,0.853396481000425,0.213349120250106,,,,,,
Which malware was linked to GOLD SOUTHFIELD?,Emotet,"[""['Emotet']""]",REvil,0.764287941235814,0.812504657327882,0.95312616433197,,,,,,
What is the name of the attack framework built to interact with Triconex SIS controllers?,Triton,"[""['Triton']""]",Triton,0.760947341721102,1,1,,,,,,
Which platform does Triton target?,Industrial control systems (ICS),"[""['Industrial control systems (ICS)']""]",Windows,0.737102663678994,0.784876524082686,0.196233207768768,,,,,,
Which group was INCONTROLLER developed by?,Unknown,"[""['Unknown']""]",CHERNOVITE,0,0.795145806847428,0.948786451711857,,,,,,
What does INCONTROLLER have the ability to do?,Disrupt industrial processes,"[""['Disrupt industrial processes']""]","Discover specific devices, download logic on the devices, and exploit platform-specific vulnerabilities.",0,0.768477366698585,0.192119341674646,,,,,,
What platform does INCONTROLLER target?,Industrial control systems (ICS),"[""['Industrial control systems (ICS)']""]","Field Controller/RTU/PLC/IED, Safety Instrumented System/Protection Relay, Engineering Workstation, Windows",0.763239787414144,0.830213385868751,0.207553346467187,,,,,,
Which malware overwrites files with random data to render the OS unbootable?,KillDisk,"[""['KillDisk']""]",KillDisk,0.765884412414426,0.999999999999999,1,,,,,,
What is the alias for KillDisk?,Win32/KillDisk.AK,"[""['Win32/KillDisk.AK']""]","Win32/KillDisk.NBI, Win32/KillDisk.NBH, Win32/KillDisk.NBD, Win32/KillDisk.NBC, Win32/KillDisk.NBB",0.801922573649185,0.911685901012874,0.227905456229456,,,,,,
Which malware framework was used in the attacks on the Ukrainian power grid in December 2016?,Industroyer,"[""['Industroyer']""]",Industroyer,0.730410977890416,1,1,,,,,,
What is the alias for Industroyer?,CrashOverride,"[""['CrashOverride']""]","CRASHOVERRIDE, Win32/Industroyer",0,0.909180718849802,0.227306658337854,,,,,,
Which malware is a sophisticated toolkit that has been used to collect information since at least 2010?,Flame,"[""['Flame']""]",Flame,0.698818933262555,1,1,,,,,,
What are the aliases for Flame?,"Flamer, Skywiper","[""['Flamer', 'Skywiper']""]","Flamer, sKyWIper",0.791895519313583,0.949561890555859,0.237353389875201,,,,,,
Which malware was designed to target enterprise environments and has been used in attacks since at least 2018?,Ryuk,"[""['Ryuk']""]",Ryuk,0.745423237942762,1,1,,,,,,
What is the alias for Ryuk?,Hermes,"[""['Hermes']""]",Hermes ransomware,0.742101248495792,0.87921822440229,0.219804556100572,,,,,,
Which malware targets AutoCAD files with drawings?,ACAD/Medre.A,"[""['ACAD/Medre.A']""]",ACAD/Medre.A,0.842396234661534,1,0.999999608099869,,,,,,
Which malware operates as ransomware-as-a-service (RaaS)?,REvil,"[""['REvil']""]",REvil,0.816167208100387,1,1,,,,,,
Which platform does REvil target?,Windows,"[""['Windows']""]",Windows,0.771826502846909,1,1,,,,,,
Which malware is custom and includes multiple modules tailored towards ICS devices?,INCONTROLLER,"[""['INCONTROLLER']""]",INCONTROLLER,0,1,1,,,,,,
What are the aliases for INCONTROLLER?,"PIPEDREAM, TAG-2222","[""['PIPEDREAM', 'TAG-2222']""]",PIPEDREAM,0.7618809856889039,0.92799963470435,0.232016583346707,,,,,,
What protocol is used by INCONTROLLER?,"OPC UA, Modbus TCP, DNP3","[""['OPC UA', 'Modbus TCP', 'DNP3']""]","OPC UA, Modbus, and CODESYS",0.810459160501628,0.933181726811409,0.733305501622784,,,,,,
What does the malware VPNFilter collect?,"Credentials, sensitive information","[""['Credentials', 'sensitive information']""]","Traffic that passes through an infected device, including website credentials and Modbus SCADA protocols.",0.772262309830654,0.810523214074401,0.20265608297979,,,,,,
What platform does VPNFilter target?,Routers and network-attached storage (NAS) devices,"[""['Routers and network-attached storage (NAS) devices']""]",ICS devices,0.769510524655286,0.80053737701007,0.200134344252517,,,,,,
Which country was primarily targeted by Flame?,Iran,"[""['Iran']""]",Middle Eastern countries,0.791529103495664,0.797770603832345,0.949442650958086,,,,,,
What is the name of the campaign conducted by CyberAv3ngers in 2023?,Unitronics Defacement Campaign,"[""['Unitronics Defacement Campaign']""]",Unitronics Defacement Campaign,0.820947436858774,1,0.999999314714671,,,,,,
Which threat actor was involved in the Unitronics Defacement Campaign?,CyberAv3ngers,"[""['CyberAv3ngers']""]",CyberAv3ngers,0.762585276716686,0.999986142859587,1,,,,,,
What type of devices were targeted in the Unitronics Defacement Campaign?,Programmable Logic Controllers (PLCs),"[""['Programmable Logic Controllers (PLCs)']""]",Unitronics Vision Series Programmable Logic Controller (PLC) with Human-Machine Interface (HMI),0.7824579536038,0.89802665253475,0.224506663133687,,,,,,
Which sectors were primarily affected by the Unitronics Defacement Campaign?,Industrial and manufacturing,"[""['Industrial and manufacturing']""]","Water and wastewater, energy, food and beverage manufacturing, and healthcare sectors",0.829164479633813,0.873772122259776,0.218443030564944,,,,,,
What was the notable feature of the Unitronics Defacement Campaign?,Defacement of HMI interfaces,"[""['Defacement of HMI interfaces']""]",Defacement of the PLCs' HMIs,0.777412647763745,0.937305912619879,0.234326478154969,,,,,,
When was the first instance of the Unitronics Defacement Campaign observed?,2023,"[""['2023']""]","November 1, 2023",0,0.907489157613762,0.22687228940344,,,,,,
What is the external ID for the Unitronics Defacement Campaign according to MITRE?,T1078,"[""['T1078']""]",C0031,0.760488487384106,0.867916485510937,0.216979121377734,,,,,,
Which publication provided information about IRGC-affiliated hackers in December 2023?,"(Answer not provided, specific source needed)","[""['(Answer not provided', 'specific source needed)']""]",CISA AA23-335A IRGC-Affiliated December 2023,0,0.760474355411804,0.190118588852951,,,,,,
What was the first major public attack conducted by the Sandworm Team against Ukraine?,2015 Ukraine Power Grid Attack,"[""['2015 Ukraine Power Grid Attack']""]",2016 Ukraine Electric Power Attack,0.830479822307423,0.947971704204595,0.986992926051148,,,,,,
What malware was used in the 2016 Ukraine Electric Power Attack?,Industroyer,"[""['Industroyer']""]",Industroyer malware,0.718589255341827,0.913206423515818,0.978301605878954,,,,,,
Which group conducted the 2016 Ukraine Electric Power Attack?,Sandworm Team,"[""['Sandworm Team']""]",Sandworm Team,0,1,1,,,,,,
When did the 2016 Ukraine Electric Power Attack occur?,2016-12-01 00:00:00,"[""['Dec-16']""]","December 1, 2016",0,0.872915645180673,0.218228911295168,,,,,,
What is the MITRE external ID for the 2016 Ukraine Electric Power Attack?,T0810,"[""['T0810']""]",C0025,0.753008331502195,0.882584080809161,0.22064602020229,,,,,,
Which document detailed the Win32/Industroyer threat for industrial control systems?,"(Answer not provided, specific document needed)","[""['(Answer not provided', 'specific document needed)']""]",ESET Industroyer,0,0.724353216338147,0.931088304084537,,,,,,
What campaign did the Sandworm Team launch against Ukraine in 2022?,Ukraine Electric Power Attack,"[""['Ukraine Electric Power Attack']""]",2022 Ukraine Electric Power Attack,0.826434223525391,0.961126289623781,0.990281572405945,,,,,,
What techniques were used by the Sandworm Team in the 2022 Ukraine Electric Power Attack?,"Spear phishing, malware deployment","[""['Spear phishing', 'malware deployment']""]","GOGETTER, Neo-REGEORG, CaddyWiper, and living off the land (LotL) techniques",0.851404749831304,0.761078778858503,0.190269694714625,,,,,,
Which publication provides details about the 2022 Ukraine Electric Power Attack?,"(Answer not provided, specific source needed)","[""['(Answer not provided', 'specific source needed)']""]",Dragos-Sandworm-Ukraine-2022,0,0.738244292211201,0.934555203668466,,,,,,
What is the MITRE external ID for the 2022 Ukraine Electric Power Attack?,T0891,"[""['T0891']""]",C0034,0.733034838843328,0.899053940147206,0.974763485036801,,,,,,
What mitigation involves restricting code execution to a virtual environment on an endpoint?,Application Isolation and Sandboxing,"[""['Application Isolation and Sandboxing']""]",Application Isolation and Sandboxing,0.846636352982699,1,1,,,,,,
What is the MITRE external ID for Application Isolation and Sandboxing?,M1048,"[""['M1048']""]",M0948,0,0.93137925638528,0.98284481409632,,,,,,
Which guideline is associated with the mitigation strategy of Application Isolation and Sandboxing?,NIST SP 800-125,"[""['NIST SP 800-125']""]",IEC 62443-3-3:2013 - SR 5.4,0.785256681782313,0.810923512840745,0.952730878210186,,,,,,
What is the purpose of filtering network traffic according to MITRE?,To detect and prevent malicious activity,"[""['To detect and prevent malicious activity']""]",To use network appliances to filter ingress or egress traffic and perform protocol-based filtering,0.777054509925129,0.825353223428119,0.581321234305747,,,,,,
What is the MITRE external ID for the 'Filter Network Traffic' course of action?,M1037,"[""['M1037']""]",M0937,0.766186958077504,0.937162262627144,0.984264673589419,,,,,,
What document provides guidelines on firewall deployment for SCADA and process control networks?,NIST SP 800-82 Guide to Industrial Control Systems (ICS) Security,"[""['NIST SP 800-82 Guide to Industrial Control Systems (ICS) Security']""]",Centre for the Protection of National Infrastructure February 2005,0.869245376846938,0.795429646028317,0.198857411507079,,,,,,
What is the focus of the 'Restrict Web-Based Content' course of action?,Limiting access to potentially harmful web content,"[""['Limiting access to potentially harmful web content']""]","Restricting the use of certain websites, blocking downloads/attachments, blocking Javascript, and restricting browser extensions",0.871489982210443,0.892415922735414,0.223120551746717,,,,,,
What is the MITRE external ID for 'Restrict Web-Based Content'?,M1021,"[""['M1021']""]",M0921,0,0.916147398482924,0.979036849620731,,,,,,
Which guideline is associated with validating program inputs?,NIST SP 800-53,"[""['NIST SP 800-53']""]",IEC 62443-3-3:2013 - SR 3.5,0.792061593904515,0.819263710038527,0.204815927509631,,,,,,
What is the purpose of validating program inputs?,To prevent injection attacks and ensure data integrity,"[""['To prevent injection attacks and ensure data integrity']""]",To ensure the format and content of all user inputs and actions are within intended operational ranges,0.915615807227939,0.851430215386591,0.212857553846647,,,,,,
What publication provides details about secure PLC coding practices?,IEC 61131-3 Programmable Controllers,"[""['IEC 61131-3 Programmable Controllers']""]",PLCTop20 Mar 2023,0.831002063837372,0.756646748979762,0.18916168724494,,,,,,
What is the purpose of network segmentation in ICS environments?,To isolate critical systems and limit the spread of attacks,"[""['To isolate critical systems and limit the spread of attacks']""]","To isolate critical systems, functions, or resources to prevent access to sensitive systems and information",0.930536520168984,0.945268395378378,0.236317098844594,,,,,,
What is the MITRE external ID for 'Network Segmentation'?,M1030,"[""['M1030']""]",M0930,0,0.915012182566876,0.978753045641719,,,,,,
Which guideline is associated with the course of action for Network Segmentation?,NIST SP 800-82 ICS Security Guidelines,"[""['NIST SP 800-82 ICS Security Guidelines']""]",IEC 62443-3-3:2013 - SR 5.1,0.813743706818307,0.817480154005756,0.954370038501439,,,,,,
What mitigation involves restricting the ability to modify certain hives or keys in the Windows Registry?,Restrict Registry Permissions,"[""['Restrict Registry Permissions']""]",Restrict Registry Permissions,0.833357988008803,0.999999999999999,1,,,,,,
What is the MITRE external ID for 'Restrict Registry Permissions'?,M1042,"[""['M1042']""]",M0924,0.728309474657899,0.900053372734711,0.975045955105122,,,,,,
Which guideline is associated with Restrict Registry Permissions?,NIST SP 800-53,"[""['NIST SP 800-53']""]",IEC 62443-3-3:2013 - SR 2.1,0.78189148286984,0.807231567808748,0.201807891952187,,,,,,
What is Data Loss Prevention (DLP) used for in ICS environments?,To prevent unauthorized data exfiltration,"[""['To prevent unauthorized data exfiltration']""]","To help identify adversarial attempts to exfiltrate operational information such as engineering plans, trade secrets, recipes, or process telemetry",0.821056261980182,0.884496459912543,0.596124114978135,,,,,,
What is the MITRE external ID for 'Data Loss Prevention'?,M1027,"[""['M1027']""]",M0803,0.75047912316132,0.890927700025508,0.972758609909364,,,,,,
