questions,question_type,zero_shot_answers,zero_shot_contexts
What is the function of 'T0886: Remote Services' in ICS attacks?,factual,"<b>'T0886: Remote Services' refers to the use of remote access services in Industrial Control Systems (ICS) attacks. Its function typically involves exploiting remote services to gain unauthorized access to ICS networks. Attackers may use these services to manipulate control systems, disrupt operations, or exfiltrate sensitive data. By leveraging remote access, they can bypass physical security measures and execute attacks from a distance, making it a critical vector in ICS cybersecurity threats.</b>","'T0886: Remote Services' refers to the use of remote access services in Industrial Control Systems (ICS) attacks. Its function typically involves exploiting remote services to gain unauthorized access to ICS networks. Attackers may use these services to manipulate control systems, disrupt operations, or exfiltrate sensitive data. By leveraging remote access, they can bypass physical security measures and execute attacks from a distance, making it a critical vector in ICS cybersecurity threats."
Which group is known for targeting critical infrastructure with 'BlackEnergy'?,factual,"<b>The group known for targeting critical infrastructure with 'BlackEnergy' is APT28, also known as Fancy Bear.</b>","The group known for targeting critical infrastructure with 'BlackEnergy' is APT28, also known as Fancy Bear."
What does the 'Collection' tactic involve in ICS environments?,factual,"<b>The 'Collection' tactic in ICS (Industrial Control Systems) environments involves gathering data from various sources within the system. This can include monitoring network traffic, accessing system logs, and collecting information from devices and sensors. The goal is to obtain valuable insights that can be used for further analysis, threat detection, or operational improvements.</b>","The 'Collection' tactic in ICS (Industrial Control Systems) environments involves gathering data from various sources within the system. This can include monitoring network traffic, accessing system logs, and collecting information from devices and sensors. The goal is to obtain valuable insights that can be used for further analysis, threat detection, or operational improvements."
"What intrusion set uses the ""Alarm Suppression"" attack pattern?",factual,"<b>The intrusion set that uses the ""Alarm Suppression"" attack pattern is APT29.</b>","The intrusion set that uses the ""Alarm Suppression"" attack pattern is APT29."
"Which malware is known to target industrial control systems with ""Data Destruction"" techniques?",factual,"<b>The malware known to target industrial control systems with ""Data Destruction"" techniques is called ""Shamoon.""</b>","The malware known to target industrial control systems with ""Data Destruction"" techniques is called ""Shamoon."""
"What is the primary purpose of the ""Inhibit Response Function"" technique in ICS?",factual,"<b>The primary purpose of the ""Inhibit Response Function"" technique in ICS is to prevent the system from responding to certain inputs or conditions that may lead to undesired or harmful outcomes. This technique is used to enhance safety and control by ensuring that the system does not take action in situations where it could exacerbate a problem or lead to an unsafe state.</b>","The primary purpose of the ""Inhibit Response Function"" technique in ICS is to prevent the system from responding to certain inputs or conditions that may lead to undesired or harmful outcomes. This technique is used to enhance safety and control by ensuring that the system does not take action in situations where it could exacerbate a problem or lead to an unsafe state."
What is the purpose of 'T0885: Commonly Used Port' in ICS attacks?,factual,"<b>'T0885: Commonly Used Port' refers to the identification and exploitation of frequently used network ports in Industrial Control Systems (ICS) during cyber attacks. Attackers often target these ports to gain unauthorized access, disrupt operations, or exfiltrate sensitive data. Understanding which ports are commonly used helps in assessing vulnerabilities and implementing security measures to protect ICS environments from potential threats.</b>","'T0885: Commonly Used Port' refers to the identification and exploitation of frequently used network ports in Industrial Control Systems (ICS) during cyber attacks. Attackers often target these ports to gain unauthorized access, disrupt operations, or exfiltrate sensitive data. Understanding which ports are commonly used helps in assessing vulnerabilities and implementing security measures to protect ICS environments from potential threats."
Which group is known for using the 'NotPetya' ransomware?,factual,"<b>The group known for using the 'NotPetya' ransomware is the Russian cyber group known as APT28, also referred to as Fancy Bear.</b>","The group known for using the 'NotPetya' ransomware is the Russian cyber group known as APT28, also referred to as Fancy Bear."
"What is the alias for the threat group ""CyberAv3ngers""? ",factual,"<b>The alias for the threat group ""CyberAv3ngers"" is ""Cyb3rAv3ngers.""</b>","The alias for the threat group ""CyberAv3ngers"" is ""Cyb3rAv3ngers."""
Which threat group operates the REvil Ransomware-as-a-Service?,factual,<b>The REvil Ransomware-as-a-Service is operated by a threat group known as Sodinokibi.</b>,The REvil Ransomware-as-a-Service is operated by a threat group known as Sodinokibi.
"When was the ""CyberAv3ngers"" group first known to be active?",factual,"<b>The ""CyberAv3ngers"" group was first known to be active in 2020.</b>","The ""CyberAv3ngers"" group was first known to be active in 2020."
"What specific sectors were targeted by the ""HEXANE"" group?",factual,"<b>The ""HEXANE"" group targeted the healthcare and technology sectors.</b>","The ""HEXANE"" group targeted the healthcare and technology sectors."
"What is the MITRE ATT&CK ID for the ""Lazarus Group""?",factual,"<b>The MITRE ATT&CK ID for the ""Lazarus Group"" is T1203.</b>","The MITRE ATT&CK ID for the ""Lazarus Group"" is T1203."
"Which malware was used by the ""Dragonfly"" group against energy companies?",factual,"<b>The ""Dragonfly"" group used the ""Energetic Bear"" malware against energy companies.</b>","The ""Dragonfly"" group used the ""Energetic Bear"" malware against energy companies."
"Which group is associated with the alias ""Pinchy Spider""?",factual,"<b>The group associated with the alias ""Pinchy Spider"" is the ""Lazarus Group.""</b>","The group associated with the alias ""Pinchy Spider"" is the ""Lazarus Group."""
"What kind of interface was defaced by the ""CyberAv3ngers"" group in their 2023 attack?",factual,"<b>The ""CyberAv3ngers"" group defaced a website interface in their 2023 attack.</b>","The ""CyberAv3ngers"" group defaced a website interface in their 2023 attack."
What malware is described as the first to specifically target industrial control systems devices?,factual,<b>The malware described as the first to specifically target industrial control systems devices is Stuxnet.</b>,The malware described as the first to specifically target industrial control systems devices is Stuxnet.
"What threat group is associated with the aliases ""Labyrinth Chollima"" and ""ZINC""? ",factual,"<b>The threat group associated with the aliases ""Labyrinth Chollima"" and ""ZINC"" is North Korea.</b>","The threat group associated with the aliases ""Labyrinth Chollima"" and ""ZINC"" is North Korea."
"In which sectors did the ""EKANS"" ransomware cause significant operational disruptions?",inferential,"<b>The ""EKANS"" ransomware caused significant operational disruptions primarily in the manufacturing and automotive sectors.</b>","The ""EKANS"" ransomware caused significant operational disruptions primarily in the manufacturing and automotive sectors."
 Which group's activities are primarily linked to the Russian origin?,factual,<b>The activities primarily linked to the Russian origin are associated with the Russian group.</b>,The activities primarily linked to the Russian origin are associated with the Russian group.
"What is the alternative name for the malware ""SNAKEHOSE""?",factual,"<b>The alternative name for the malware ""SNAKEHOSE"" is ""SNAKE.""</b>","The alternative name for the malware ""SNAKEHOSE"" is ""SNAKE."""
Which threat group targeted Unitronics Programmable Logic Controllers (PLC) in 2023?,factual,"<b>The threat group that targeted Unitronics Programmable Logic Controllers (PLC) in 2023 is known as ""MuddyWater.""</b>","The threat group that targeted Unitronics Programmable Logic Controllers (PLC) in 2023 is known as ""MuddyWater."""
"What alias is associated with the ""APT33"" group?",factual,"<b>The alias associated with the ""APT33"" group is ""Elfin.""</b>","The alias associated with the ""APT33"" group is ""Elfin."""
"Which threat group is known for the creation and deployment of ""TrickBot""?",factual,"<b>The threat group known for the creation and deployment of ""TrickBot"" is the cybercriminal group known as ""Wizard Spider.""</b>","The threat group known for the creation and deployment of ""TrickBot"" is the cybercriminal group known as ""Wizard Spider."""
"What year was the ""Backdoor.Oldrea"" first used by ""Dragonfly""? ",factual,"<b>The ""Backdoor.Oldrea"" was first used by ""Dragonfly"" in 2018.</b>","The ""Backdoor.Oldrea"" was first used by ""Dragonfly"" in 2018."
" What alias is used by the ""HEXANE"" group, which also refers to the name ""Lyceum""?",factual,"<b>The alias used by the ""HEXANE"" group that also refers to the name ""Lyceum"" is ""Academy.""</b>","The alias used by the ""HEXANE"" group that also refers to the name ""Lyceum"" is ""Academy."""
Which malware is known to have been discovered in 2010 with components used as early as 2008?,factual,<b>The malware known to have been discovered in 2010 with components used as early as 2008 is Stuxnet.</b>,The malware known to have been discovered in 2010 with components used as early as 2008 is Stuxnet.
"Which group is reported to have connections to the IRGC-linked ""Soldiers of Solomon""?",factual,"<b>No relationships have been found regarding connections to the IRGC-linked ""Soldiers of Solomon.""</b>","No relationships have been found regarding connections to the IRGC-linked ""Soldiers of Solomon."""
What is Bad Rabbit?,factual,"<b>Bad Rabbit is a type of ransomware that emerged in 2017. It spreads through malicious software disguised as an Adobe Flash installer, targeting users primarily in Eastern Europe. Once executed, it encrypts files on the infected system and demands a ransom payment in cryptocurrency for decryption.</b>","Bad Rabbit is a type of ransomware that emerged in 2017. It spreads through malicious software disguised as an Adobe Flash installer, targeting users primarily in Eastern Europe. Once executed, it encrypts files on the infected system and demands a ransom payment in cryptocurrency for decryption."
What platform does Bad Rabbit target?,factual,<b>Bad Rabbit targets Windows platforms.</b>,Bad Rabbit targets Windows platforms.
Which malware affected the Ukrainian transportation sector in 2017?,factual,<b>The malware that affected the Ukrainian transportation sector in 2017 is known as NotPetya.</b>,The malware that affected the Ukrainian transportation sector in 2017 is known as NotPetya.
Which sector was targeted by Bad Rabbit in 2017?,factual,<b>The sector targeted by Bad Rabbit in 2017 was the media sector.</b>,The sector targeted by Bad Rabbit in 2017 was the media sector.
Which malware shares aliases with Win32/Diskcoder.D?,factual,"<b>The malware that shares aliases with Win32/Diskcoder.D is known as ""Diskcoder"" and ""Crysis.""</b>","The malware that shares aliases with Win32/Diskcoder.D is known as ""Diskcoder"" and ""Crysis."""
What is the ID for Bad Rabbit in the MITRE ATT&CK framework?,factual,<b>The ID for Bad Rabbit in the MITRE ATT&CK framework is T1203.</b>,The ID for Bad Rabbit in the MITRE ATT&CK framework is T1203.
What does Stuxnet specifically target?,factual,"<b>Stuxnet specifically targets industrial control systems, particularly those used in nuclear facilities.</b>","Stuxnet specifically targets industrial control systems, particularly those used in nuclear facilities."
What is Stuxnet known for?,factual,"<b>Stuxnet is known for being a sophisticated computer worm that specifically targeted industrial control systems, particularly those used in Iran's nuclear program. It is recognized for its ability to cause physical damage to equipment by manipulating the control systems, marking a significant event in the realm of cyber warfare.</b>","Stuxnet is known for being a sophisticated computer worm that specifically targeted industrial control systems, particularly those used in Iran's nuclear program. It is recognized for its ability to cause physical damage to equipment by manipulating the control systems, marking a significant event in the realm of cyber warfare."
Which platform does Stuxnet target?,factual,"<b>Stuxnet targets industrial control systems, specifically those using Siemens software and hardware.</b>","Stuxnet targets industrial control systems, specifically those using Siemens software and hardware."
Which group used NotPetya in a worldwide attack?,factual,"<b>The group that used NotPetya in a worldwide attack is believed to be the Russian military intelligence agency, known as the GRU.</b>","The group that used NotPetya in a worldwide attack is believed to be the Russian military intelligence agency, known as the GRU."
What was the primary purpose of NotPetya?,factual,"<b>The primary purpose of NotPetya was to disrupt and damage the operations of targeted organizations, primarily in Ukraine, by encrypting their data and rendering their systems inoperable. It was designed to cause widespread chaos rather than to generate financial gain.</b>","The primary purpose of NotPetya was to disrupt and damage the operations of targeted organizations, primarily in Ukraine, by encrypting their data and rendering their systems inoperable. It was designed to cause widespread chaos rather than to generate financial gain."
What exploits does NotPetya use to spread?,factual,"<b>NotPetya spreads using several exploits, including the EternalBlue exploit, which targets a vulnerability in the SMB protocol. It also utilizes the EternalRomance exploit and exploits misconfigurations in Windows systems, such as the use of hard-coded credentials and the ability to propagate through network shares. Additionally, it can spread through infected software updates and by leveraging administrative tools like PsExec and Windows Management Instrumentation (WMI).</b>","NotPetya spreads using several exploits, including the EternalBlue exploit, which targets a vulnerability in the SMB protocol. It also utilizes the EternalRomance exploit and exploits misconfigurations in Windows systems, such as the use of hard-coded credentials and the ability to propagate through network shares. Additionally, it can spread through infected software updates and by leveraging administrative tools like PsExec and Windows Management Instrumentation (WMI)."
What platform does NotPetya target?,factual,<b>NotPetya primarily targets Windows operating systems.</b>,NotPetya primarily targets Windows operating systems.
Which malware targets Microsoft Windows and was first detected in November 2008?,factual,<b>The malware that targets Microsoft Windows and was first detected in November 2008 is known as Conficker.</b>,The malware that targets Microsoft Windows and was first detected in November 2008 is known as Conficker.
What is the alias for Conficker?,factual,<b>The alias for Conficker is Downadup.</b>,The alias for Conficker is Downadup.
Which malware ran on Siemens S7 PLCs?,factual,<b>The malware that ran on Siemens S7 PLCs is known as Stuxnet.</b>,The malware that ran on Siemens S7 PLCs is known as Stuxnet.
What is the description of BlackEnergy?,factual,"<b>BlackEnergy is a type of malware that has been associated with various cyber attacks, particularly targeting critical infrastructure. It is known for its ability to conduct distributed denial-of-service (DDoS) attacks, steal sensitive information, and facilitate other malicious activities. BlackEnergy has evolved over time, with different variants being used for various purposes, including espionage and sabotage. Its deployment often involves exploiting vulnerabilities in systems to gain unauthorized access and control.</b>","BlackEnergy is a type of malware that has been associated with various cyber attacks, particularly targeting critical infrastructure. It is known for its ability to conduct distributed denial-of-service (DDoS) attacks, steal sensitive information, and facilitate other malicious activities. BlackEnergy has evolved over time, with different variants being used for various purposes, including espionage and sabotage. Its deployment often involves exploiting vulnerabilities in systems to gain unauthorized access and control."
Which countries were primarily affected by BlackEnergy?,factual,"<b>The countries primarily affected by BlackEnergy include Ukraine, where it was notably involved in cyberattacks against the power grid, as well as other countries in Eastern Europe.</b>","The countries primarily affected by BlackEnergy include Ukraine, where it was notably involved in cyberattacks against the power grid, as well as other countries in Eastern Europe."
What malware toolkit evolved to include a variant of KillDisk?,factual,"<b>The malware toolkit that evolved to include a variant of KillDisk is known as ""Triton.""</b>","The malware toolkit that evolved to include a variant of KillDisk is known as ""Triton."""
Which malware targets engineering workstations?,factual,"<b>The malware that targets engineering workstations is known as ""PIPEDREAM.""</b>","The malware that targets engineering workstations is known as ""PIPEDREAM."""
Which malware was designed to cause impact to high-voltage electrical substations?,inferential,<b>The malware designed to cause impact to high-voltage electrical substations is known as Stuxnet.</b>,The malware designed to cause impact to high-voltage electrical substations is known as Stuxnet.
What is the ID for Industroyer2?,factual,<b>The ID for Industroyer2 is 2021-0001.</b>,The ID for Industroyer2 is 2021-0001.
Which protocol can Industroyer2 communicate over?,factual,<b>Industroyer2 can communicate over the IEC 104 protocol.</b>,Industroyer2 can communicate over the IEC 104 protocol.
What platform does KillDisk target?,factual,<b>KillDisk targets Windows and Linux platforms.</b>,KillDisk targets Windows and Linux platforms.
Which malware was first seen in December 2019 and impacted operations at Honda automotive production facilities?,inferential,"<b>The malware that was first seen in December 2019 and impacted operations at Honda automotive production facilities is known as ""Snake.""</b>","The malware that was first seen in December 2019 and impacted operations at Honda automotive production facilities is known as ""Snake."""
Which processes does EKANS target?,factual,"<b>EKANS targets the processes involved in the regulation of gene expression, specifically those related to the transcription of DNA into RNA.</b>","EKANS targets the processes involved in the regulation of gene expression, specifically those related to the transcription of DNA into RNA."
Which malware was linked to GOLD SOUTHFIELD?,factual,"<b>GOLD SOUTHFIELD was linked to the malware known as ""GOLD SOUTHFIELD.""</b>","GOLD SOUTHFIELD was linked to the malware known as ""GOLD SOUTHFIELD."""
What is the name of the attack framework built to interact with Triconex SIS controllers?,factual,"<b>The name of the attack framework built to interact with Triconex SIS controllers is ""TRITON.""</b>","The name of the attack framework built to interact with Triconex SIS controllers is ""TRITON."""
Which platform does Triton target?,factual,<b>Triton targets the cloud platform.</b>,Triton targets the cloud platform.
Which group was INCONTROLLER developed by?,factual,<b>INCONTROLLER was developed by the INCONTROLLER group.</b>,INCONTROLLER was developed by the INCONTROLLER group.
What does INCONTROLLER have the ability to do?,factual,"<b>INCONTROLLER has the ability to manage and control various processes or systems, although specific functionalities are not detailed in the provided information.</b>","INCONTROLLER has the ability to manage and control various processes or systems, although specific functionalities are not detailed in the provided information."
What platform does INCONTROLLER target?,factual,<b>INCONTROLLER targets the Microsoft Azure platform.</b>,INCONTROLLER targets the Microsoft Azure platform.
Which malware overwrites files with random data to render the OS unbootable?,factual,"<b>The malware that overwrites files with random data to render the operating system unbootable is known as ""wiper"" malware.</b>","The malware that overwrites files with random data to render the operating system unbootable is known as ""wiper"" malware."
What is the alias for KillDisk?,factual,"<b>The alias for KillDisk is ""KillDisk.""</b>","The alias for KillDisk is ""KillDisk."""
Which malware framework was used in the attacks on the Ukrainian power grid in December 2016?,factual,"<b>The malware framework used in the attacks on the Ukrainian power grid in December 2016 was called ""BlackEnergy.""</b>","The malware framework used in the attacks on the Ukrainian power grid in December 2016 was called ""BlackEnergy."""
What is the alias for Industroyer?,factual,"<b>The alias for Industroyer is ""CrashOverride.""</b>","The alias for Industroyer is ""CrashOverride."""
Which malware is a sophisticated toolkit that has been used to collect information since at least 2010?,factual,"<b>The malware that is a sophisticated toolkit used to collect information since at least 2010 is known as ""Zeus.""</b>","The malware that is a sophisticated toolkit used to collect information since at least 2010 is known as ""Zeus."""
What are the aliases for Flame?,factual,"<b>The aliases for Flame are ""Fire"" and ""Inferno.""</b>","The aliases for Flame are ""Fire"" and ""Inferno."""
Which malware was designed to target enterprise environments and has been used in attacks since at least 2018?,factual,"<b>The malware designed to target enterprise environments and has been used in attacks since at least 2018 is known as ""Ransomware.""</b>","The malware designed to target enterprise environments and has been used in attacks since at least 2018 is known as ""Ransomware."""
What is the alias for Ryuk?,factual,"<b>The alias for Ryuk is ""Shinigami.""</b>","The alias for Ryuk is ""Shinigami."""
Which malware targets AutoCAD files with drawings?,factual,"<b>The malware that targets AutoCAD files with drawings is known as ""AutoCAD malware.""</b>","The malware that targets AutoCAD files with drawings is known as ""AutoCAD malware."""
Which malware operates as ransomware-as-a-service (RaaS)?,factual,"<b>Ransomware-as-a-service (RaaS) is a model where developers offer ransomware tools to affiliates for a share of the profits. Specific examples of malware that operate as RaaS include well-known variants like REvil, DarkSide, and LockBit.</b>","Ransomware-as-a-service (RaaS) is a model where developers offer ransomware tools to affiliates for a share of the profits. Specific examples of malware that operate as RaaS include well-known variants like REvil, DarkSide, and LockBit."
Which platform does REvil target?,factual,"<b>REvil targets various platforms, primarily focusing on Windows systems.</b>","REvil targets various platforms, primarily focusing on Windows systems."
Which malware is custom and includes multiple modules tailored towards ICS devices?,factual,"<b>The malware that is custom and includes multiple modules tailored towards ICS devices is known as ""Industroyer.""</b>","The malware that is custom and includes multiple modules tailored towards ICS devices is known as ""Industroyer."""
What are the aliases for INCONTROLLER?,factual,<b>There are no aliases found for INCONTROLLER.</b>,There are no aliases found for INCONTROLLER.
What protocol is used by INCONTROLLER?,factual,<b>The protocol used by INCONTROLLER is the INCONTROLLER protocol.</b>,The protocol used by INCONTROLLER is the INCONTROLLER protocol.
What does the malware VPNFilter collect?,factual,"<b>VPNFilter malware collects information such as network traffic, device information, and credentials. It can also capture data from connected devices and monitor communications.</b>","VPNFilter malware collects information such as network traffic, device information, and credentials. It can also capture data from connected devices and monitor communications."
What platform does VPNFilter target?,factual,<b>VPNFilter targets routers and network-attached storage (NAS) devices.</b>,VPNFilter targets routers and network-attached storage (NAS) devices.
Which country was primarily targeted by Flame?,factual,<b>The country primarily targeted by Flame was Iran.</b>,The country primarily targeted by Flame was Iran.
What is the name of the campaign conducted by CyberAv3ngers in 2023?,factual,"<b>The name of the campaign conducted by CyberAv3ngers in 2023 is ""Operation: Takedown.""</b>","The name of the campaign conducted by CyberAv3ngers in 2023 is ""Operation: Takedown."""
Which threat actor was involved in the Unitronics Defacement Campaign?,factual,"<b>The threat actor involved in the Unitronics Defacement Campaign is known as ""Hackers of the Iranian Cyber Army.""</b>","The threat actor involved in the Unitronics Defacement Campaign is known as ""Hackers of the Iranian Cyber Army."""
What type of devices were targeted in the Unitronics Defacement Campaign?,factual,<b>The devices targeted in the Unitronics Defacement Campaign were programmable logic controllers (PLCs).</b>,The devices targeted in the Unitronics Defacement Campaign were programmable logic controllers (PLCs).
Which sectors were primarily affected by the Unitronics Defacement Campaign?,factual,<b>The sectors primarily affected by the Unitronics Defacement Campaign were the manufacturing and industrial sectors.</b>,The sectors primarily affected by the Unitronics Defacement Campaign were the manufacturing and industrial sectors.
What was the notable feature of the Unitronics Defacement Campaign?,factual,"<b>The notable feature of the Unitronics Defacement Campaign was the use of a specific vulnerability in the web servers of Unitronics products, which allowed attackers to deface the web interfaces of various devices. This campaign highlighted the security weaknesses in industrial control systems and the potential risks associated with inadequate cybersecurity measures in such environments.</b>","The notable feature of the Unitronics Defacement Campaign was the use of a specific vulnerability in the web servers of Unitronics products, which allowed attackers to deface the web interfaces of various devices. This campaign highlighted the security weaknesses in industrial control systems and the potential risks associated with inadequate cybersecurity measures in such environments."
When was the first instance of the Unitronics Defacement Campaign observed?,factual,"<b>The first instance of the Unitronics Defacement Campaign was observed on July 1, 2020.</b>","The first instance of the Unitronics Defacement Campaign was observed on July 1, 2020."
What is the external ID for the Unitronics Defacement Campaign according to MITRE?,factual,"<b>The external ID for the Unitronics Defacement Campaign according to MITRE is ""M2020-005.""</b>","The external ID for the Unitronics Defacement Campaign according to MITRE is ""M2020-005."""
Which publication provided information about IRGC-affiliated hackers in December 2023?,factual,"<b>The publication that provided information about IRGC-affiliated hackers in December 2023 is the ""Washington Post.""</b>","The publication that provided information about IRGC-affiliated hackers in December 2023 is the ""Washington Post."""
What was the first major public attack conducted by the Sandworm Team against Ukraine?,factual,<b>The first major public attack conducted by the Sandworm Team against Ukraine was the cyberattack on the Ukrainian power grid in December 2015. This attack resulted in widespread power outages and marked a significant escalation in cyber warfare targeting critical infrastructure.</b>,The first major public attack conducted by the Sandworm Team against Ukraine was the cyberattack on the Ukrainian power grid in December 2015. This attack resulted in widespread power outages and marked a significant escalation in cyber warfare targeting critical infrastructure.
What malware was used in the 2016 Ukraine Electric Power Attack?,factual,<b>The malware used in the 2016 Ukraine Electric Power Attack was called BlackEnergy.</b>,The malware used in the 2016 Ukraine Electric Power Attack was called BlackEnergy.
Which group conducted the 2016 Ukraine Electric Power Attack?,factual,<b>The group that conducted the 2016 Ukraine Electric Power Attack is known as Sandworm.</b>,The group that conducted the 2016 Ukraine Electric Power Attack is known as Sandworm.
When did the 2016 Ukraine Electric Power Attack occur?,factual,"<b>The 2016 Ukraine Electric Power Attack occurred on December 23, 2016.</b>","The 2016 Ukraine Electric Power Attack occurred on December 23, 2016."
What is the MITRE external ID for the 2016 Ukraine Electric Power Attack?,factual,<b>The MITRE external ID for the 2016 Ukraine Electric Power Attack is ATT&CK ID T1486.</b>,The MITRE external ID for the 2016 Ukraine Electric Power Attack is ATT&CK ID T1486.
Which document detailed the Win32/Industroyer threat for industrial control systems?,factual,"<b>The document that detailed the Win32/Industroyer threat for industrial control systems is the ""Industroyer: The malware that can disrupt critical infrastructure"" report.</b>","The document that detailed the Win32/Industroyer threat for industrial control systems is the ""Industroyer: The malware that can disrupt critical infrastructure"" report."
What campaign did the Sandworm Team launch against Ukraine in 2022?,factual,"<b>The Sandworm Team launched a campaign against Ukraine in 2022 that involved a series of cyberattacks, including the deployment of malware designed to disrupt critical infrastructure and steal sensitive information.</b>","The Sandworm Team launched a campaign against Ukraine in 2022 that involved a series of cyberattacks, including the deployment of malware designed to disrupt critical infrastructure and steal sensitive information."
What techniques were used by the Sandworm Team in the 2022 Ukraine Electric Power Attack?,factual,"<b>The Sandworm Team employed a variety of techniques during the 2022 Ukraine Electric Power Attack, including the use of malware, specifically the Industroyer2 malware, which is designed to target industrial control systems. They also utilized tactics such as spear-phishing to gain initial access, and they executed a coordinated attack that involved disrupting power supply and causing outages. Additionally, the team leveraged advanced persistent threat (APT) strategies to maintain access and control over the targeted systems.</b>","The Sandworm Team employed a variety of techniques during the 2022 Ukraine Electric Power Attack, including the use of malware, specifically the Industroyer2 malware, which is designed to target industrial control systems. They also utilized tactics such as spear-phishing to gain initial access, and they executed a coordinated attack that involved disrupting power supply and causing outages. Additionally, the team leveraged advanced persistent threat (APT) strategies to maintain access and control over the targeted systems."
Which publication provides details about the 2022 Ukraine Electric Power Attack?,factual,"<b>The publication that provides details about the 2022 Ukraine Electric Power Attack is the ""2022 Cybersecurity Annual Report.""</b>","The publication that provides details about the 2022 Ukraine Electric Power Attack is the ""2022 Cybersecurity Annual Report."""
What is the MITRE external ID for the 2022 Ukraine Electric Power Attack?,factual,<b>The MITRE external ID for the 2022 Ukraine Electric Power Attack is T1499.</b>,The MITRE external ID for the 2022 Ukraine Electric Power Attack is T1499.
What mitigation involves restricting code execution to a virtual environment on an endpoint?,factual,<b>The mitigation that involves restricting code execution to a virtual environment on an endpoint is known as application sandboxing.</b>,The mitigation that involves restricting code execution to a virtual environment on an endpoint is known as application sandboxing.
What is the MITRE external ID for Application Isolation and Sandboxing?,factual,<b>The MITRE external ID for Application Isolation and Sandboxing is T1171.</b>,The MITRE external ID for Application Isolation and Sandboxing is T1171.
